in,0,label,Having_@_symbol,Having_IP,Prefix_suffix_separation,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,statistical_report,tiny_url,web_traffic
0,http://asesoresvelfit.com/media/datacredito.co/,1,0,0,0,0,0,0,1,1,1,0,0,1,1
1,"http://caixa.com.br.fgtsagendesaqueconta.com/consulta8523211/principal.php?seg=11,17,42,AM,131,5,05,000000,12,11.fgts",1,0,0,0,0,1,1,1,1,1,0,1,0,1
2,http://hissoulreason.com/js/homepage/home/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
3,http://unauthorizd.newebpage.com/webapps/66fbf/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
4,http://133.130.103.10/23/,1,0,1,0,0,2,0,1,1,1,0,0,0,1
5,http://dj00.co.vu/css/?bsoul=Qg@xIHW%//yh/en/?i=34453&amp;i=34453,1,1,0,0,0,0,2,1,1,1,0,1,0,0
6,http://133.130.103.10/21/logar/,1,0,1,0,0,2,0,1,1,1,0,0,0,1
7,http://httpssicredi.esy.es/servico/sicredi/validarclientes/mobi/index.php,1,0,0,0,0,2,2,1,1,1,1,1,0,1
8,http://gamesaty.ga/wp-content///yh/en/?i=31416&amp;i=31416,1,0,0,0,1,0,2,1,1,1,0,0,0,1
9,http://luxuryupgradepro.com/ymailNew/ymailNew/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
10,http://133.130.103.10/1/,1,0,1,0,0,2,0,1,1,1,0,0,0,1
11,http://133.130.103.10/24/sicredi/psmlId/31/paneid/index.htm,1,0,1,0,0,1,2,1,1,1,0,0,0,1
12,http://smscaixaacesso.hol.es,1,0,0,0,0,0,0,1,1,1,0,1,0,1
13,http://133.130.103.10/7/SIIBC/siwinCtrl.php,1,0,1,0,0,1,0,1,1,1,0,0,0,1
14,http://tinyurl.com/kjmmw57,1,0,0,0,0,0,0,1,1,1,0,0,1,0
15,http://wrightlandscapes.org/no/T/Y1.html,1,0,0,0,0,0,0,1,1,1,0,1,0,1
16,http://mautic.eto-cms.ru/themes/goldstar/mtbonline/newmandt/,1,0,0,1,0,0,2,1,1,1,0,0,0,1
17,http://ginatringali.com//al/alibaba21012015/alibaba21012015/666/index.html,1,0,0,0,1,0,2,1,1,1,0,1,0,1
18,https://staticmail.000webhostapp.com/,1,0,0,0,0,0,0,1,1,1,0,0,0,0
19,http://umeda.com.br/bba/BOA/home/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
20,http://krishworldwide.com/BackUp/under/js/ayo1/index.html,1,0,0,0,0,0,2,1,1,1,0,0,0,1
21,http://yahoo.co.in/email_open_log_pic.php?mid=9f8fd3e2a108a256bff453d09c965c25&amp;s=a,1,0,0,0,0,2,1,1,1,1,0,0,0,1
22,http://www.avcc.ac.in/fonts/1/wropboxp/login.html,1,0,0,0,0,1,0,1,1,1,0,0,0,1
23,http://craig-hallum.ga/sgg/1/login.htm,1,0,0,1,0,0,0,1,1,1,0,1,0,1
24,http://www.verification-mobile-nab.com/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,1,0,0,1,0,0,1,1,1,1,0,1,0,1
25,http://verification-mobile-nab.com/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,1,0,0,1,0,0,1,1,1,1,0,1,0,1
26,http://www.justpiddlinboutique.com/win/image.htm,1,0,0,0,0,2,0,1,1,1,0,0,0,1
27,http://vcsolutionscorp.com/Block/image.htm,1,0,0,0,0,0,0,1,1,1,0,1,0,1
28,http://almasur.com/wp-includes/pomo/docusign17/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
29,http://asesoresvelfit.com/media/cms/datacredito.co/,1,0,0,0,0,0,0,1,1,1,0,0,1,1
30,https://getpeopleplus.com/EserviceMain/irs/ir/index.html,1,0,0,0,0,0,2,1,1,1,0,0,0,1
31,https://taeamigo.com/EserviceMain/irs/ir/index.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
32,https://elmundo-latino.com/ir/index.html,1,0,0,1,0,0,0,1,1,1,0,1,0,1
33,http://sociopremiosedescontos.com/cadastro/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
34,http://cartaopremiadosicoob.com,1,0,0,0,0,0,0,1,1,1,0,1,0,1
35,http://ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk/0-009021--0203499083934.l3992389100283901233232400349902132443940090132/hotmail.login/client_id=00000002-0000-0ff1-ce00-000000000000&amp;/000-pc.domain/officelogin1.html?run=login_cmd&amp;statuts=f17ca2c829680ada2fec9fc87bc5f606913063b5e3c451761e1f9d5888ada562,1,0,0,1,0,1,1,1,1,1,0,0,0,1
36,http://www.travrica.com/ntime/T/Y1.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
37,http://system-tnc.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
38,http://sandralucashyde.org/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,1,0,0,0,0,1,1,1,1,1,0,0,0,1
39,http://alexanderpetricek.com/EserviceMain/irs/ir/index.html,1,0,0,0,0,0,2,1,1,1,0,1,0,1
40,http://di15.co.vu/css/?bsoul=P)HdNhwY//yh/en/?i=31416&amp;i=31416,1,0,0,0,0,0,2,1,1,1,0,1,0,0
41,http://sicredisms.ignitiondomain.com/2017/validarclientes/mobi/index.php,1,0,0,0,0,2,2,1,1,1,0,1,0,1
42,https://rajspaces.com/EserviceDLAcct/irs/ir/index.html,1,0,0,0,0,0,2,1,1,1,0,0,0,1
43,http://fb-systemapps.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
44,https://signin-activitysupport.helpcenter-supportfraudsignin.com/mpp/signin/f341/,1,0,0,1,0,0,1,1,1,1,0,1,0,1
45,http://www.citadelchurchjax.com/wp-admin/validateowa/owa/WebAdmin/Outlook%20Web%20App.htm,1,0,0,0,0,2,1,1,1,1,0,0,1,1
46,http://pradochaui.com.br/criptografado1/index1.php,1,0,0,0,0,2,0,1,1,1,0,1,0,1
47,http://simnokomun.lt/upload/omo/newgd2/newgd/moole/index.php,1,0,0,0,0,0,2,1,1,1,0,0,0,1
48,http://di11.co.vu/css/?bsoul=znr($Jxd//yh/en/?i=34639&amp;i=34639,1,0,0,0,0,0,2,1,1,1,0,1,0,0
49,http://www.alligator.site/wp-content/wall/gallary/fin/,1,0,0,0,0,0,2,1,1,1,0,1,0,1
50,http://tinyurl.com/le5tcvf,1,0,0,0,0,0,0,1,1,1,0,0,1,0
51,http://tinyurl.com/ll59xhm,1,0,0,0,0,0,0,1,1,1,0,0,1,0
52,https://tr.im/1e0rQ,1,0,0,0,0,0,0,1,1,1,0,0,1,1
53,https://www.gommetermiche.it/administrator/modules/auth.att.secure/login.htm,1,0,0,0,0,1,1,1,1,1,0,0,0,1
54,http://indonesianwonderagate.com/zee/validate.htm?utm_source=tr.im&amp;utm_medium=no_referer&amp;utm_campaign=tr.im%2F1e0rQ&amp;utm_content=direct_input,1,0,0,0,0,1,1,1,1,1,0,0,1,1
55,http://tinyurl.com/ll59xhm,1,0,0,0,0,0,0,1,1,1,0,0,1,0
56,http://consultafgts.esy.es/home,1,0,0,0,0,0,0,1,1,1,0,1,0,1
57,http://www.ultrakoz.com/uploads/files/reloadedatt.net.html,1,0,0,0,0,1,2,1,1,1,0,0,0,1
58,http://www.blackabba.com/sign-on/yahoo/Y1.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
59,http://carretroller.com.br/sss/image.htm,1,0,0,0,0,2,0,1,1,1,0,1,0,1
60,https://www.mamujutengahkab.go.id/terasconfig/www.att.net/,1,0,0,0,0,1,2,1,1,1,0,0,0,1
61,http://sandralucashyde.org/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,1,0,0,0,0,1,1,1,1,1,0,0,0,1
62,http://extratoinativos.com/Inativos/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
